model,config,fitted_on,threshold,tp,fn,fp,tn,sensitivity,specificity,miss_rate,false_referral_rate,ppv,npv,referral_rate,referrals_per_100,balanced_accuracy
vit,ensemble5,internal_val,0.751,807,4,0,298,0.9950678175092479,1.0,0.004932182490752158,0.0,1.0,0.9867549668874173,0.7276825969341749,72.76825969341749,0.997533908754624
vit,ensemble5,internal_val,0.752,807,4,0,298,0.9950678175092479,1.0,0.004932182490752158,0.0,1.0,0.9867549668874173,0.7276825969341749,72.76825969341749,0.997533908754624
vit,ensemble5,internal_val,0.753,807,4,0,298,0.9950678175092479,1.0,0.004932182490752158,0.0,1.0,0.9867549668874173,0.7276825969341749,72.76825969341749,0.997533908754624
vit,ensemble5,internal_val,0.754,807,4,0,298,0.9950678175092479,1.0,0.004932182490752158,0.0,1.0,0.9867549668874173,0.7276825969341749,72.76825969341749,0.997533908754624
vit,ensemble5,internal_val,0.755,807,4,0,298,0.9950678175092479,1.0,0.004932182490752158,0.0,1.0,0.9867549668874173,0.7276825969341749,72.76825969341749,0.997533908754624
vit,ensemble5,internal_val,0.756,807,4,0,298,0.9950678175092479,1.0,0.004932182490752158,0.0,1.0,0.9867549668874173,0.7276825969341749,72.76825969341749,0.997533908754624
vit,ensemble5,internal_val,0.757,807,4,0,298,0.9950678175092479,1.0,0.004932182490752158,0.0,1.0,0.9867549668874173,0.7276825969341749,72.76825969341749,0.997533908754624
vit,ensemble5,internal_val,0.758,807,4,0,298,0.9950678175092479,1.0,0.004932182490752158,0.0,1.0,0.9867549668874173,0.7276825969341749,72.76825969341749,0.997533908754624
vit,ensemble5,internal_val,0.759,807,4,0,298,0.9950678175092479,1.0,0.004932182490752158,0.0,1.0,0.9867549668874173,0.7276825969341749,72.76825969341749,0.997533908754624
vit,ensemble5,internal_val,0.76,807,4,0,298,0.9950678175092479,1.0,0.004932182490752158,0.0,1.0,0.9867549668874173,0.7276825969341749,72.76825969341749,0.997533908754624
vit,ensemble5,internal_val,0.761,807,4,0,298,0.9950678175092479,1.0,0.004932182490752158,0.0,1.0,0.9867549668874173,0.7276825969341749,72.76825969341749,0.997533908754624
vit,ensemble5,internal_val,0.762,807,4,0,298,0.9950678175092479,1.0,0.004932182490752158,0.0,1.0,0.9867549668874173,0.7276825969341749,72.76825969341749,0.997533908754624
vit,ensemble5,internal_val,0.763,807,4,0,298,0.9950678175092479,1.0,0.004932182490752158,0.0,1.0,0.9867549668874173,0.7276825969341749,72.76825969341749,0.997533908754624
vit,ensemble5,internal_val,0.764,807,4,0,298,0.9950678175092479,1.0,0.004932182490752158,0.0,1.0,0.9867549668874173,0.7276825969341749,72.76825969341749,0.997533908754624
vit,ensemble5,internal_val,0.765,807,4,0,298,0.9950678175092479,1.0,0.004932182490752158,0.0,1.0,0.9867549668874173,0.7276825969341749,72.76825969341749,0.997533908754624
vit,ensemble5,internal_val,0.766,807,4,0,298,0.9950678175092479,1.0,0.004932182490752158,0.0,1.0,0.9867549668874173,0.7276825969341749,72.76825969341749,0.997533908754624
vit,ensemble5,internal_val,0.767,807,4,0,298,0.9950678175092479,1.0,0.004932182490752158,0.0,1.0,0.9867549668874173,0.7276825969341749,72.76825969341749,0.997533908754624
vit,ensemble5,internal_val,0.768,807,4,0,298,0.9950678175092479,1.0,0.004932182490752158,0.0,1.0,0.9867549668874173,0.7276825969341749,72.76825969341749,0.997533908754624
vit,ensemble5,internal_val,0.769,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
